"species","scientificName","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","year","month","country","countryCode","class","locality","occurrenceStatus","basisOfRecord","institutionCode","gbifRegion","phylum","family"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.441257,-1.748606,278,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.801377,-3.199933,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.076656,-4.072329,325,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",50.953431,-1.214665,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.638775,-0.157705,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.775973,-2.383433,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.628761,-2.146353,368,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",52.462225,-1.679466,28953,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.740701,-2.402018,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",51.865021,-4.265768,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.745422,-2.949569,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.016,-0.971845,8,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",57.157007,-2.286807,3,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",53.634559,-1.433889,23,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",56.427926,-2.873993,387,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",54.768539,-2.39859,93,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Muscicapidae"
